


2025-05-16 21:49:28 (proxies flagged as working: 111)

(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://57.129.81.201:8080
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://159.65.245.255:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://81.169.213.169:8888
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://45.140.143.77:18080
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://89.58.57.45:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://68.183.143.134:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://87.248.129.32:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://88.135.72.7:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://37.32.12.199:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://159.69.57.20:8880
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://198.199.86.11:8080
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://172.188.122.92:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://65.108.203.36:18080
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://91.107.154.214:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://65.21.52.41:8888
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://158.255.77.166:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://200.174.198.86:8888
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://23.247.136.254:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://45.12.150.82:8080
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://195.114.209.50:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://162.223.90.150:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://84.39.112.144:3128
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://161.35.70.249:8080
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://196.1.95.124:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://97.74.87.226:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://51.254.78.223:80
(self.ANONYMITY_LEVEL='MEDIUM' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://158.255.77.169:80
(self.ANONYMITY_LEVEL='HIGH' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) HTTP://5.161.106.49:1080
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://206.206.73.41:6657
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://184.174.25.222:6111
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://104.239.78.153:6098
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://67.227.113.248:5788
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://149.57.17.137:5605
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://166.88.235.79:5707
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://38.153.140.5:8883
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://216.74.115.86:6680
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://173.0.10.19:6195
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://64.64.115.106:5741
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://166.88.195.141:5773
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://104.252.109.70:7003
(self.ANONYMITY_LEVEL='LOW' | self.IS_ACTIVE=True | self.IS_BLACKLISTED=False | self.CONNECTION_RETRIES=0) SOCKS5://38.153.136.98:5121
